Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
XGB,model_48,5,0.71,0.85,57.0,47.0,84.0,16.0,gain,"Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB,model_10,4,0.71,0.85,56.0,47.0,84.0,16.0,total_gain,"Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB,model_49,4,0.71,0.85,56.0,47.0,84.0,16.0,gain,"Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB,model_35,5,0.7,0.85,55.0,46.0,84.0,16.0,weight,"Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB,model_61,5,0.7,0.85,55.0,45.0,84.0,16.0,cover,"Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB,model_62,4,0.7,0.84,55.0,45.0,84.0,16.0,cover,"Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB,model_50,3,0.7,0.84,55.0,45.0,84.0,16.0,gain,"Sunshine,WindGustSpeed,Humidity3pm"
XGB,model_63,3,0.7,0.84,55.0,45.0,84.0,16.0,cover,"WindGustSpeed,Humidity3pm,Sunshine"
XGB,model_23,4,0.69,0.84,54.0,44.0,83.0,17.0,total_cover,"MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB,model_11,3,0.69,0.84,54.0,44.0,83.0,17.0,total_gain,"WindGustSpeed,Pressure9am,Humidity3pm"
XGB,model_36,4,0.69,0.83,54.0,43.0,83.0,17.0,weight,"Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB,model_24,3,0.69,0.84,53.0,43.0,83.0,17.0,total_cover,"Sunshine,Pressure9am,Humidity3pm"
XGB,model_51,2,0.69,0.83,53.0,42.0,83.0,17.0,gain,"WindGustSpeed,Humidity3pm"
XGB,model_37,3,0.68,0.82,53.0,42.0,83.0,17.0,weight,"Humidity3pm,MaxTemp,Pressure9am"
XGB,model_12,2,0.68,0.82,51.0,40.0,83.0,17.0,total_gain,"Pressure9am,Humidity3pm"
XGB,model_25,2,0.68,0.82,51.0,40.0,83.0,17.0,total_cover,"Pressure9am,Humidity3pm"
XGB,model_64,2,0.66,0.81,49.0,37.0,82.0,18.0,cover,"Humidity3pm,Sunshine"
XGB,model_13,1,0.65,0.79,46.0,33.0,82.0,18.0,total_gain,Humidity3pm
XGB,model_26,1,0.65,0.79,46.0,33.0,82.0,18.0,total_cover,Humidity3pm
XGB,model_52,1,0.65,0.79,46.0,33.0,82.0,18.0,gain,Humidity3pm
XGB,model_38,2,0.57,0.71,27.0,17.0,78.0,22.0,weight,"MaxTemp,Pressure9am"
XGB,model_65,1,0.56,0.7,24.0,15.0,79.0,21.0,cover,Sunshine
XGB,model_39,1,0.54,0.65,19.0,12.0,78.0,22.0,weight,Pressure9am
