,Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
50,KNN,model_63,3,0.69,0.78,52.0,45.0,82.0,18.0,cover,"WindGustSpeed,Humidity3pm,Sunshine"
51,KNN,model_36,4,0.69,0.77,52.0,45.0,81.0,19.0,weight,"Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
52,KNN,model_11,3,0.69,0.77,52.0,46.0,81.0,19.0,total_gain,"WindGustSpeed,Pressure9am,Humidity3pm"
53,KNN,model_24,3,0.69,0.77,52.0,46.0,81.0,19.0,total_cover,"Sunshine,Pressure9am,Humidity3pm"
54,KNN,model_37,3,0.68,0.76,52.0,45.0,81.0,19.0,weight,"Humidity3pm,MaxTemp,Pressure9am"
55,KNN,model_12,2,0.67,0.75,50.0,43.0,81.0,19.0,total_gain,"Pressure9am,Humidity3pm"
56,KNN,model_25,2,0.67,0.75,50.0,43.0,81.0,19.0,total_cover,"Pressure9am,Humidity3pm"
57,KNN,model_51,2,0.66,0.75,49.0,40.0,81.0,19.0,gain,"WindGustSpeed,Humidity3pm"
58,KNN,model_64,2,0.66,0.73,47.0,39.0,80.0,20.0,cover,"Humidity3pm,Sunshine"
59,KNN,model_13,1,0.63,0.73,42.0,31.0,81.0,19.0,total_gain,Humidity3pm
60,KNN,model_26,1,0.63,0.73,42.0,31.0,81.0,19.0,total_cover,Humidity3pm
61,KNN,model_52,1,0.63,0.73,42.0,31.0,81.0,19.0,gain,Humidity3pm
62,KNN,model_38,2,0.58,0.65,33.0,27.0,75.0,25.0,weight,"MaxTemp,Pressure9am"
63,KNN,model_65,1,0.57,0.64,28.0,20.0,78.0,22.0,cover,Sunshine
64,KNN,model_39,1,0.55,0.58,27.0,22.0,74.0,26.0,weight,Pressure9am
