Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
KNN 7,model_30,10,0.71,0.82,57.0,49.0,83.0,17.0,weight,"Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_56,10,0.71,0.82,57.0,49.0,83.0,17.0,cover,"Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_5,9,0.71,0.82,57.0,50.0,83.0,17.0,total_gain,"Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_18,9,0.71,0.82,57.0,49.0,83.0,17.0,total_cover,"WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_31,9,0.71,0.82,57.0,49.0,83.0,17.0,weight,"WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_57,9,0.71,0.82,57.0,49.0,83.0,17.0,cover,"Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_32,8,0.71,0.82,57.0,49.0,83.0,17.0,weight,"WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_45,8,0.72,0.82,57.0,50.0,83.0,17.0,gain,"month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_8,6,0.71,0.82,57.0,49.0,83.0,17.0,total_gain,"Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_2,12,0.71,0.83,56.0,48.0,83.0,17.0,total_gain,"WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_28,12,0.71,0.83,56.0,48.0,83.0,17.0,weight,"Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_41,12,0.71,0.83,56.0,49.0,83.0,17.0,gain,"WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_29,11,0.71,0.82,56.0,48.0,83.0,17.0,weight,"month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_6,8,0.71,0.82,56.0,49.0,83.0,17.0,total_gain,"Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_19,8,0.71,0.82,56.0,49.0,83.0,17.0,total_cover,"Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_58,8,0.71,0.82,56.0,48.0,83.0,17.0,cover,"MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_7,7,0.71,0.82,56.0,49.0,83.0,17.0,total_gain,"Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_20,7,0.71,0.82,56.0,49.0,83.0,17.0,total_cover,"Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_33,7,0.71,0.82,56.0,49.0,83.0,17.0,weight,"Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_46,7,0.71,0.82,56.0,49.0,83.0,17.0,gain,"MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_34,6,0.71,0.82,56.0,49.0,83.0,17.0,weight,"WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_21,6,0.71,0.81,56.0,49.0,83.0,17.0,total_cover,"Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_47,6,0.71,0.81,56.0,49.0,83.0,17.0,gain,"Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_9,5,0.71,0.81,56.0,49.0,83.0,17.0,total_gain,"MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_22,5,0.71,0.81,56.0,49.0,83.0,17.0,total_cover,"WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_59,7,0.7,0.81,55.0,47.0,83.0,17.0,cover,"Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_60,6,0.7,0.8,55.0,47.0,82.0,18.0,cover,"Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_48,5,0.7,0.8,55.0,47.0,83.0,17.0,gain,"Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_10,4,0.7,0.8,55.0,48.0,83.0,17.0,total_gain,"Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_49,4,0.7,0.8,55.0,47.0,82.0,18.0,gain,"Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_35,5,0.7,0.8,54.0,47.0,82.0,18.0,weight,"Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_23,4,0.7,0.8,54.0,47.0,82.0,18.0,total_cover,"MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_62,4,0.7,0.8,54.0,47.0,82.0,18.0,cover,"Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_50,3,0.7,0.8,54.0,47.0,82.0,18.0,gain,"Sunshine,WindGustSpeed,Humidity3pm"
KNN 7,model_63,3,0.7,0.8,54.0,47.0,82.0,18.0,cover,"WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_61,5,0.69,0.79,54.0,47.0,82.0,18.0,cover,"Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 7,model_11,3,0.69,0.79,53.0,45.0,82.0,18.0,total_gain,"WindGustSpeed,Pressure9am,Humidity3pm"
KNN 7,model_24,3,0.69,0.79,53.0,45.0,82.0,18.0,total_cover,"Sunshine,Pressure9am,Humidity3pm"
KNN 7,model_36,4,0.69,0.78,53.0,45.0,82.0,18.0,weight,"Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_37,3,0.68,0.77,52.0,44.0,82.0,18.0,weight,"Humidity3pm,MaxTemp,Pressure9am"
KNN 7,model_12,2,0.68,0.76,51.0,42.0,81.0,19.0,total_gain,"Pressure9am,Humidity3pm"
KNN 7,model_25,2,0.68,0.76,51.0,42.0,81.0,19.0,total_cover,"Pressure9am,Humidity3pm"
KNN 7,model_51,2,0.67,0.77,49.0,41.0,81.0,19.0,gain,"WindGustSpeed,Humidity3pm"
KNN 7,model_64,2,0.67,0.75,49.0,42.0,80.0,20.0,cover,"Humidity3pm,Sunshine"
KNN 7,model_13,1,0.63,0.74,42.0,31.0,81.0,19.0,total_gain,Humidity3pm
KNN 7,model_26,1,0.63,0.74,42.0,31.0,81.0,19.0,total_cover,Humidity3pm
KNN 7,model_52,1,0.63,0.74,42.0,31.0,81.0,19.0,gain,Humidity3pm
KNN 7,model_38,2,0.58,0.66,31.0,24.0,77.0,23.0,weight,"MaxTemp,Pressure9am"
KNN 7,model_65,1,0.57,0.64,26.0,17.0,79.0,21.0,cover,Sunshine
KNN 7,model_39,1,0.55,0.59,25.0,18.0,76.0,24.0,weight,Pressure9am
