Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
KNN 3,model_3,11,0.71,0.79,56.0,51.0,82.0,18.0,total_gain,"month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 3,model_1,13,0.71,0.78,56.0,50.0,82.0,18.0,total_gain,"Cloud9am,WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 3,model_14,13,0.71,0.78,56.0,50.0,82.0,18.0,total_cover,"month_sin,Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 3,model_27,13,0.71,0.78,56.0,50.0,82.0,18.0,weight,"Cloud9am,Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 3,model_40,13,0.71,0.78,56.0,50.0,82.0,18.0,gain,"Evaporation,WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 3,model_53,13,0.71,0.78,56.0,50.0,82.0,18.0,cover,"month_sin,WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 3,model_41,12,0.71,0.78,56.0,51.0,82.0,18.0,gain,"WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 3,model_42,11,0.71,0.78,56.0,51.0,82.0,18.0,gain,"Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 3,model_55,11,0.71,0.78,56.0,51.0,82.0,18.0,cover,"WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 3,model_43,10,0.71,0.78,56.0,51.0,82.0,18.0,gain,"WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
KNN 3,model_57,9,0.71,0.78,56.0,51.0,82.0,18.0,cover,"Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 3,model_2,12,0.71,0.78,55.0,50.0,82.0,18.0,total_gain,"WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 3,model_15,12,0.71,0.78,55.0,50.0,82.0,18.0,total_cover,"Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 3,model_28,12,0.71,0.78,55.0,50.0,82.0,18.0,weight,"Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 3,model_54,12,0.71,0.78,55.0,50.0,82.0,18.0,cover,"WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
KNN 3,model_16,11,0.71,0.78,55.0,50.0,82.0,18.0,total_cover,"Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
KNN 3,model_29,11,0.71,0.78,55.0,50.0,82.0,18.0,weight,"month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
KNN 3,model_4,10,0.7,0.78,55.0,50.0,82.0,18.0,total_gain,"WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
KNN 3,model_17,10,0.71,0.78,55.0,50.0,82.0,18.0,total_cover,"WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
